,mass,compound_id,inchi_key,formation_energy_cc
123,150.13,567,ZAQJHHRNXZUBTE-WUJLRWPWSA-N,-746.5587801125093
124,189.101,74392,ODBLHEXUDAPZAU-UHFFFAOYSA-K,-1155.4608992849676
125,336.084,396,RNBGYGVWRKECFJ-VRPWFDPXSA-J,-2599.3694050833383
126,168.112,420,LEHOTFFKMJEONL-UHFFFAOYSA-N,-357.5752250843118
127,152.14600000000002,486,HEBKCHPVOIAQTA-SCDXWVJYSA-N,-783.6686076034661
128,182.172,585,FBPFZTCFMRRESA-KVTDHHQDSA-N,-943.7848048307604
129,131.175,218,AGPKZVBTJJNPAG-WHFBIAKZSA-N,-343.86630171095885
130,171.08599999999998,764,GTZCVFVGUGFEME-IWQZZHSRSA-K,-916.2084285821359
131,117.15100000000001,357,SIKJAQJRHWYJAI-UHFFFAOYSA-N,221.08682517265527
132,46.068999999999996,287,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-179.09451841255708
133,150.13,10929,SRBFZHDQGSBBOR-AGQMPKSLSA-N,-749.4250360515156
134,240.29,859,LEVWYRKDKASIDU-IMJSIDKUSA-N,-666.5474895948144
135,30.006,215,MWUXSHHQAYIFBG-UHFFFAOYSA-N,86.49999999999764
136,46.092,748,ROSDSFDQCJNGOL-UHFFFAOYSA-O,-3.3454636121414967
137,328.20099999999996,230,IVOMOUWHDPKRLL-KQYNXXCUSA-M,-795.1050496566065
138,90.07799999999999,414,MNQZXJOMYWMBOU-VKHMYHEASA-N,-437.0692016723955
139,228.09400000000002,281,YXJDFQJKERBOBM-TXICZTDVSA-L,-1585.6667491434737
140,183.033,261,GXIURPTVHJPJLF-UWTATZPHSA-K,-1500.4259301006387
141,258.12,785,HXXFSFRBOHSIMQ-QTVWNMPRSA-L,-1755.0429066170743
142,260.13599999999997,74455,GACTWZZMVMUKNG-KVTDHHQDSA-L,-1788.1999650144876
143,212.095,1940,ALQNUOMIEBHXQG-CRCLSJGQSA-L,-1449.8308245060327
144,28.014,684,,18.700000000000067
145,113.12,1332,DDRJAANPRJIHGJ-UHFFFAOYSA-N,-23.31159081607753
146,182.172,447,FBPFZTCFMRRESA-JGWLITMVSA-N,-945.4631377180749
147,88.10600000000001,6982,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-337.6561037898004
148,44.013000000000005,549,,104.20000000000017
149,183.05700000000002,359,BZQFBWGGLXLEPQ-REOHCLBHSA-L,-1366.8577695403176
150,89.071,812,ALRHLSYJTWAHJZ-UHFFFAOYSA-M,-518.4106313974793
151,342.29699999999997,187,HDTRYLNUVZCQOY-LIZSDCNHSA-N,-1582.2171192396404
152,260.13599999999997,372,GACTWZZMVMUKNG-SLPGGIOYSA-L,-1792.7473018833787
153,228.09400000000002,1095,PPQRONHOSHZGFQ-WDCZJNDASA-L,-1597.9501048737968
154,258.12,1564,NBSCHQHZLSJFNQ-SVZMEOIVSA-L,-1754.7387103736671
155,160.082,831,WXSKVKPSMAHCSG-UHFFFAOYSA-L,-954.4291818769746
156,256.10400000000004,408,IJOJIVNDFQSGAB-SQOUGZDYSA-L,-1748.8872225398059
157,27.026,241,,119.57050616877278
158,114.057,1144,VZCYOOQTPOCHFL-UPHRSURJSA-L,-592.0145328462584
159,72.107,940,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,-130.17825902107
160,42.018,1101,,-138.94451297372257
161,16.043,675,VNWKTOKETHGBQD-UHFFFAOYSA-N,-34.37805189490448
162,182.172,3153,FBPFZTCFMRRESA-UNTFVMJOSA-N,-943.2469114194719
163,58.08,715,,51.055487809770334
164,60.096000000000004,2700,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-184.67125682564478
165,132.119,3454,YMAWOPBAYDPSLA-UHFFFAOYSA-N,-520.529847432362
166,128.084,2089,HNEGQIOMVPPMNR-IHWYPQMZSA-L,-598.4193017107553
167,84.93,2844,YMWUJEATGCHHMB-UHFFFAOYSA-N,-66.08902594744796
168,155.56,3005,IKCLCGXPQILATA-UHFFFAOYSA-M,-237.86800844584252
