,compound_id,inchi_key,mass,cc_low,cc_high,formation_energy_cc,formation_energy_rc
129,200,OIRDTQYFTABQOQ-KQYNXXCUSA-N,267.245,-194.55130625465432,-188.6702272036929,-191.6107667291736,-191.6107667291821
130,201,FDGQSTZJBFJUBT-UHFFFAOYSA-N,136.114,86.54095378529843,93.94983533281174,90.24539455905509,90.24539455906066
131,202,KFWWCMJSYSSPSK-PAXLJYGASA-J,831.58,-3152.316678859326,-3119.8430844947243,-3136.0798816770252,60.251986243385645
132,203,NBSCHQHZLSJFNQ-DVKNGEFBSA-L,258.12,-1758.9886431000161,-1751.3601703908337,-1755.174406745425,0.6573493082418037
133,204,DFPAKSUCGFBDDF-UHFFFAOYSA-N,122.12700000000001,-40.11644317875024,-22.904241720919607,-31.510342449834923,258.626784436596
134,206,HZAXFHJVJLSVMW-UHFFFAOYSA-O,62.091,-192.93397861483984,-179.85524537169735,-186.3946119932686,-27.83629447376028
135,208,ZWIADYZPOWUWEW-XVFCMESISA-K,400.154,-2282.942669713778,-2265.2423706912186,-2274.0925202024982,-456.92860434368555
136,210,AEMRFAOFKBGASW-UHFFFAOYSA-M,75.044,-535.8675517738038,-529.4966573878514,-532.6821045808276,-532.6821045808275
137,214,SQVRNKJHWKZAKO-LUWBGTNYSA-M,308.264,-1364.9885208782787,-1355.5350244428626,-1360.2617726605706,-315.2739660237924
138,215,MWUXSHHQAYIFBG-UHFFFAOYSA-N,30.006,80.52435620679454,92.47564379320075,86.49999999999764,86.49999999999979
139,216,YHHSONZFOIEMCP-UHFFFAOYSA-M,182.136,-200985.59578178954,199014.4055506425,-985.595115573519,-704.2680018352657
140,218,AGPKZVBTJJNPAG-WHFBIAKZSA-N,131.175,-349.8419455041619,-337.8906579177558,-343.86630171095885,-343.86630171095845
141,222,PXQPEWDEAKTCGB-UHFFFAOYSA-M,155.09,-594.6106741865287,-573.3221116473201,-583.9663929169244,-583.9663929169461
142,224,AUFGTPPARQZWDO-YPMHNXCESA-L,471.431,-136248.1250578082,134379.73525918354,-934.1948993123397,-200.77249349290156
143,226,AEMFNILZOJDQLW-QAGGRKNESA-N,286.415,-473179.45740943303,471486.81677579106,-846.3203168210064,9.930157581274878
144,228,AEMOLEFTQBMNLQ-AQKNRBDQSA-M,193.132,-1096.641946692075,-1088.915128697927,-1092.778537695001,-0.27822322076677164
145,229,HMFHBZSHGGEWLO-SOOFDHNKSA-N,150.13,-746.3684088453178,-740.3438025883245,-743.3561057168212,-743.3561057168262
146,230,IVOMOUWHDPKRLL-KQYNXXCUSA-M,328.20099999999996,-798.314448820094,-791.8956504931191,-795.1050496566065,-795.1050496566146
147,231,OAKURXIZZOAYBC-UHFFFAOYSA-M,87.055,-485.89385601420327,-468.84361390149775,-477.3687349578505,-477.3687349578581
148,233,PHIQHXFUZVPYII-LURJTMIESA-N,161.201,-200466.8664507851,199533.13496566258,-466.8657425612759,-62.841066240106315
149,239,UFIVEPVSAGBUSI-REOHCLBHSA-M,157.106,-623.4034249221005,-603.1735091157324,-613.2884670189164,-613.288467018929
150,241,,27.026,113.59486237556969,125.54614996197587,119.57050616877278,119.57050616877572
151,242,BAVYZALUXZFZLV-UHFFFAOYSA-O,32.065,-45.830769632795764,-33.87948204638957,-39.85512583959267,-39.8551258395886
152,244,GYOZYWVXFNDGLU-XLPZGREQSA-L,320.195,-1416.6783247867681,-1397.9456022441984,-1407.3119635154833,456.5202535246519
153,245,NGHMDNPXVRFFGS-IUYQGCFVSA-L,198.06799999999998,-1444.0441830981592,-1437.0163647100787,-1440.530273904119,-1440.5302739041217
154,246,UYTPUPDQBNUYGX-UHFFFAOYSA-N,151.129,-135500.9352852989,135126.9233660641,-187.00595961739737,2155.2530757971817
155,248,LJQLQCAXBUHEAZ-UWTATZPHSA-J,262.005,-2356.2447011200616,-2351.8833020086245,-2354.064001564343,-2354.0640015643467
156,250,FGSBNBBHOZHUBO-UHFFFAOYSA-L,158.11,-784.8786347413472,-776.1285551940705,-780.5035949677089,89.89980093975822
157,253,NCMVOABPESMRCP-SHYZEUOFSA-L,305.184,-1200.2420057743514,-1181.4978096056436,-1190.8699076899975,456.90594199005693
158,254,HWXBTNAVRSUOJR-GSVOUGTGSA-L,146.099,-840.6214424853001,-830.7129032147238,-835.667172850012,-835.6671728500136
159,255,OYIFNHCXNCRBQI-BYPYZUCNSA-M,160.15,-686.6956853322941,-675.3507330009903,-681.0232091666422,189.38018674082628
160,258,JDTUMPKOJBQPKX-GBNDHIKLSA-L,288.14599999999996,-1914.3784922912985,-1906.7109689391625,-1910.5447306152305,-1910.5447306152337
161,260,PVNIIMVLHYAWGP-UHFFFAOYSA-M,122.104,-201.2395784292042,-185.5740003824787,-193.40678940584144,683.7430118821447
162,261,GXIURPTVHJPJLF-UWTATZPHSA-K,183.033,-1502.0646000902407,-1498.7872601110366,-1500.4259301006387,-1500.425930100644
163,266,LIPOUNRJVLNBCD-UHFFFAOYSA-L,138.016,-1226.8736619812055,-1222.3870899178603,-1224.630375949533,-1224.6303759495333
164,267,OZRNSSUDZOLUSN-LBPRGKRZSA-L,441.405,-136076.46075768946,134551.39954587378,-762.5306059078393,-29.10820008840072
165,269,RZZPDXZPRHQOCG-OJAKKHQRSA-M,487.319,-202155.47417927205,197844.52737195606,-2155.473403658003,563.8796824842616
166,270,DQQDLYVHOTZLOR-OCIMBMBZSA-L,534.261,-3000.3292257681064,-2979.3877264679472,-2989.858476118027,-0.0671106058986945
167,271,JVTAAEKCZFNVCJ-UWTATZPHSA-M,89.071,-512.8595841514856,-503.7463915836905,-508.30298786758806,-508.3029878675847
168,272,SUYVUBYJARFZHO-RRKCRQDMSA-J,487.152,-2652.686822046431,-2638.1121862658647,-2645.399504156148,7.624154803336998
169,273,IRLPACMLTUPBCL-KQYNXXCUSA-L,425.27,-1545.9773439555756,-1536.826957998067,-1541.4021509768213,-1541.4021509768227
170,274,DRTQHJPVMGBUCF-XVFCMESISA-N,244.203,-737.3733996582923,-721.8990382878042,-729.6362189730482,-233.98495002072414
171,277,MUBZPKHOEPUJKR-UHFFFAOYSA-L,88.01899999999999,-679.8352123622848,-667.8839247758787,-673.8595685690817,-673.8595685690849
172,279,OYHQOLUKZRVURQ-HZJYTTRNSA-M,279.445,-95.88442304734815,-70.92489373912841,-83.40465839323828,5.263411821075496
173,280,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,288.431,-473199.31772459584,471466.9564606287,-866.1806319835587,-9.930157581277253
174,281,YXJDFQJKERBOBM-TXICZTDVSA-L,228.09400000000002,-1588.6270726748055,-1582.7064256121419,-1585.6667491434737,-1585.6667491434725
175,285,DWAKNKKXGALPNW-BYPYZUCNSA-M,112.109,-202.51747423300478,-182.08667828146102,-192.3020762572329,265.16854455166384
176,287,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,46.068999999999996,-181.96440581827156,-176.2246310068426,-179.09451841255708,-179.0945184125594
