,formula,stoichiometry,reaction_id
242,kegg:C00002 + kegg:C00025 + kegg:C00014 = kegg:C00008 + kegg:C00009 + kegg:C00064,"{6: -1.0, 74378: -1.0, 18: -1.0, 10: 1.0, 12: 1.0, 39: 1.0}",243
243,kegg:C00002 + kegg:C00031 = kegg:C00008 + kegg:C00092,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0}",244
244,kegg:C00002 + kegg:C00033 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00024,"{6: -1.0, 28: -1.0, 15: -1.0, 17: 1.0, 14: 1.0, 23: 1.0}",245
245,kegg:C00002 + kegg:C00033 = kegg:C00008 + kegg:C00227,"{6: -1.0, 28: -1.0, 10: 1.0, 266: 1.0}",246
246,kegg:C00002 + kegg:C00035 = kegg:C00008 + kegg:C00044,"{6: -1.0, 32: -1.0, 10: 1.0, 51: 1.0}",247
247,kegg:C00002 + kegg:C00042 + kegg:C00010 = kegg:C00008 + kegg:C00009 + kegg:C00091,"{6: -1.0, 27: -1.0, 15: -1.0, 10: 1.0, 12: 1.0, 87: 1.0}",248
248,kegg:C00002 + kegg:C00047 + kegg:C01646 = kegg:C00020 + kegg:C00013 + kegg:C01931,"{6: -1.0, 75: -1.0, 74589: -1.0, 17: 1.0, 14: 1.0, 74428: 1.0}",249
249,kegg:C00002 + kegg:C00049 = kegg:C00008 + kegg:C03082,"{6: -1.0, 44: -1.0, 10: 1.0, 1088: 1.0}",250
250,kegg:C00002 + kegg:C00055 = kegg:C00008 + kegg:C00112,"{6: -1.0, 33: -1.0, 10: 1.0, 208: 1.0}",251
251,kegg:C00002 + kegg:C00058 + kegg:C00101 = kegg:C00008 + kegg:C00009 + kegg:C00234,"{6: -1.0, 41: -1.0, 74383: -1.0, 10: 1.0, 12: 1.0, 224: 1.0}",252
252,kegg:C00002 + kegg:C00059 + kegg:C00001 = 2 kegg:C00009 + kegg:C00224,"{6: -1.0, 58: -1.0, 5: -1.0, 12: 2.0, 273: 1.0}",253
253,kegg:C00002 + kegg:C00059 + kegg:C00001 = kegg:C00224 + 2 kegg:C00009,"{6: -1.0, 58: -1.0, 5: -1.0, 273: 1.0, 12: 2.0}",254
254,kegg:C00002 + kegg:C00059 = kegg:C00013 + kegg:C00224,"{6: -1.0, 58: -1.0, 14: 1.0, 273: 1.0}",255
255,kegg:C00002 + kegg:C00059 = kegg:C00224 + kegg:C00013,"{6: -1.0, 58: -1.0, 273: 1.0, 14: 1.0}",256
256,kegg:C00002 + kegg:C00062 + kegg:C01636 = kegg:C00020 + kegg:C00013 + kegg:C02163,"{6: -1.0, 67: -1.0, 74561: -1.0, 17: 1.0, 14: 1.0, 74421: 1.0}",257
257,kegg:C00002 + kegg:C00062 = kegg:C00008 + kegg:C05945,"{6: -1.0, 67: -1.0, 10: 1.0, 3176: 1.0}",258
258,kegg:C00002 + kegg:C00065 + kegg:C01650 = kegg:C00020 + kegg:C00013 + kegg:C02553,"{6: -1.0, 53: -1.0, 74617: -1.0, 17: 1.0, 14: 1.0, 74581: 1.0}",259
259,kegg:C00002 + kegg:C00079 + kegg:C01648 = kegg:C00020 + kegg:C00013 + kegg:C03511,"{6: -1.0, 91: -1.0, 74563: -1.0, 17: 1.0, 14: 1.0, 74409: 1.0}",260
260,kegg:C00002 + kegg:C00082 + kegg:C00787 = kegg:C00020 + kegg:C00013 + kegg:C02839,"{6: -1.0, 73: -1.0, 74549: -1.0, 17: 1.0, 14: 1.0, 74416: 1.0}",261
261,kegg:C00002 + kegg:C00085 = kegg:C00008 + kegg:C00354,"{6: -1.0, 125172: -1.0, 10: 1.0, 396: 1.0}",262
262,kegg:C00002 + kegg:C00095 = kegg:C00008 + kegg:C00085,"{6: -1.0, 1260: -1.0, 10: 1.0, 125172: 1.0}",263
263,kegg:C00002 + kegg:C00100 + kegg:C00288 = kegg:C00008 + kegg:C00009 + kegg:C02557,"{6: -1.0, 81: -1.0, 60: -1.0, 10: 1.0, 12: 1.0, 131807: 1.0}",264
264,kegg:C00002 + kegg:C00103 = kegg:C00498 + kegg:C00013,"{6: -1.0, 74381: -1.0, 532: 1.0, 14: 1.0}",265
265,kegg:C00002 + kegg:C00104 = kegg:C00008 + kegg:C00081,"{6: -1.0, 472: -1.0, 10: 1.0, 402: 1.0}",266
266,kegg:C00002 + kegg:C00116 = kegg:C00008 + kegg:C00093,"{6: -1.0, 74384: -1.0, 10: 1.0, 64: 1.0}",267
267,kegg:C00002 + kegg:C00117 = kegg:C00020 + kegg:C00119,"{6: -1.0, 109: -1.0, 17: 1.0, 86: 1.0}",268
268,kegg:C00002 + kegg:C00124 = kegg:C00008 + kegg:C03384,"{6: -1.0, 369: -1.0, 10: 1.0, 318: 1.0}",269
269,kegg:C00002 + kegg:C00135 + kegg:C01643 = kegg:C00020 + kegg:C00013 + kegg:C02988,"{6: -1.0, 126: -1.0, 74586: -1.0, 17: 1.0, 14: 1.0, 74417: 1.0}",270
270,kegg:C00002 + kegg:C00144 = kegg:C00008 + kegg:C00035,"{6: -1.0, 106: -1.0, 10: 1.0, 32: 1.0}",271
271,kegg:C00002 + kegg:C00158 + kegg:C00010 = kegg:C00008 + kegg:C00009 + kegg:C00024 + kegg:C00036,"{6: -1.0, 123: -1.0, 15: -1.0, 10: 1.0, 12: 1.0, 23: 1.0, 48: 1.0}",272
272,kegg:C00002 + kegg:C00159 = kegg:C00008 + kegg:C00275,"{6: -1.0, 172: -1.0, 10: 1.0, 29047: 1.0}",273
273,kegg:C00002 + kegg:C00163 + kegg:C00010 = kegg:C00020 + kegg:C00013 + kegg:C00100,"{6: -1.0, 337: -1.0, 15: -1.0, 17: 1.0, 14: 1.0, 81: 1.0}",274
274,kegg:C00002 + kegg:C00183 + kegg:C01653 = kegg:C00020 + kegg:C00013 + kegg:C02554,"{6: -1.0, 188: -1.0, 74592: -1.0, 17: 1.0, 14: 1.0, 74452: 1.0}",275
275,kegg:C00002 + kegg:C00188 + kegg:C01651 = kegg:C00020 + kegg:C00013 + kegg:C02992,"{6: -1.0, 134: -1.0, 74591: -1.0, 17: 1.0, 14: 1.0, 74424: 1.0}",276
276,kegg:C00002 + kegg:C00197 = kegg:C00008 + kegg:C00236,"{6: -1.0, 118: -1.0, 10: 1.0, 248: 1.0}",277
277,kegg:C00002 + kegg:C00239 = kegg:C00008 + kegg:C00705,"{6: -1.0, 253: -1.0, 10: 1.0, 390: 1.0}",278
278,kegg:C00002 + kegg:C00300 = kegg:C00008 + kegg:C02305,"{6: -1.0, 379: -1.0, 10: 1.0, 74456: 1.0}",279
279,kegg:C00002 + kegg:C00327 + kegg:C00049 = kegg:C00020 + kegg:C00013 + kegg:C03406,"{6: -1.0, 199: -1.0, 44: -1.0, 17: 1.0, 14: 1.0, 522: 1.0}",280
280,kegg:C00002 + kegg:C00362 = kegg:C00008 + kegg:C00361,"{6: -1.0, 518: -1.0, 10: 1.0, 415: 1.0}",281
281,kegg:C00002 + kegg:C00364 = kegg:C00008 + kegg:C00363,"{6: -1.0, 244: -1.0, 10: 1.0, 144: 1.0}",282
282,kegg:C00002 + kegg:C00407 + kegg:C01644 = kegg:C00020 + kegg:C00013 + kegg:C03127,"{6: -1.0, 218: -1.0, 74587: -1.0, 17: 1.0, 14: 1.0, 74418: 1.0}",283
283,kegg:C00002 + kegg:C00455 = kegg:C00003 + kegg:C00013,"{6: -1.0, 336: -1.0, 11: 1.0, 14: 1.0}",284
284,kegg:C00002 + kegg:C00581 = kegg:C00008 + kegg:C03166,"{6: -1.0, 557: -1.0, 10: 1.0, 4136: 1.0}",285
285,kegg:C00002 + kegg:C00882 = kegg:C00008 + kegg:C00010,"{6: -1.0, 459: -1.0, 10: 1.0, 15: 1.0}",286
286,kegg:C00002 + kegg:C01003 = kegg:C00008 + kegg:C03875,"{6: -1.0, 75265: -1.0, 10: 1.0, 74860: 1.0}",287
287,kegg:C00002 + kegg:C01107 = kegg:C00008 + kegg:C01143,"{6: -1.0, 537: -1.0, 10: 1.0, 654: 1.0}",288
288,kegg:C00002 + kegg:C01194 = kegg:C00008 + kegg:C01277,"{6: -1.0, 62: -1.0, 10: 1.0, 114: 1.0}",289
289,kegg:C00002 + kegg:C01281 = kegg:C00013 + kegg:C01299,"{6: -1.0, 75269: -1.0, 14: 1.0, 74806: 1.0}",290
290,kegg:C00002 + kegg:C01563 = kegg:C00008 + kegg:C00169,"{6: -1.0, 701: -1.0, 10: 1.0, 130: 1.0}",291
291,kegg:C00002 + kegg:C01959 = kegg:C00008 + kegg:C03149,"{6: -1.0, 2930: -1.0, 10: 1.0, 4521: 1.0}",292
292,kegg:C00002 + kegg:C14177 = kegg:C00008 + kegg:C14178,"{6: -1.0, 46934: -1.0, 10: 1.0, 3507: 1.0}",293
293,kegg:C00002 = kegg:C00575 + kegg:C00013,"{6: -1.0, 230: 1.0, 14: 1.0}",294
294,kegg:C00003 + kegg:C00001 = kegg:C00153 + kegg:C01882,"{11: -1.0, 5: -1.0, 204: 1.0, 36269: 1.0}",295
295,kegg:C00003 + kegg:C00001 = kegg:C00455 + kegg:C00020,"{11: -1.0, 5: -1.0, 336: 1.0, 17: 1.0}",296
296,kegg:C00003 + kegg:C00005 = kegg:C00004 + kegg:C00006,"{11: -1.0, 9: -1.0, 13: 1.0, 8: 1.0}",297
297,kegg:C00004 + kegg:C00006 = kegg:C00003 + kegg:C00005,"{13: -1.0, 8: -1.0, 11: 1.0, 9: 1.0}",298
298,kegg:C00008 + kegg:C00001 = kegg:C00020 + kegg:C00009,"{10: -1.0, 5: -1.0, 17: 1.0, 12: 1.0}",299
299,kegg:C00008 + kegg:C00103 = kegg:C00498 + kegg:C00009,"{10: -1.0, 74381: -1.0, 532: 1.0, 12: 1.0}",300
300,kegg:C00010 + kegg:C00033 + kegg:C00002 = kegg:C00024 + kegg:C00008 + kegg:C00009,"{15: -1.0, 28: -1.0, 6: -1.0, 23: 1.0, 10: 1.0, 12: 1.0}",301
301,kegg:C00010 + kegg:C00127 = kegg:C00920 + kegg:C00051,"{15: -1.0, 143: -1.0, 1974: 1.0, 57: 1.0}",302
302,kegg:C00013 + kegg:C00001 = 2 kegg:C00009,"{14: -1.0, 5: -1.0, 12: 2.0}",303
303,kegg:C00013 + kegg:C00036 + kegg:C00001 = kegg:C00009 + kegg:C00074 + kegg:C00288,"{14: -1.0, 48: -1.0, 5: -1.0, 12: 1.0, 70: 1.0, 60: 1.0}",304
304,kegg:C00013 + kegg:C00065 = kegg:C00009 + kegg:C01005,"{14: -1.0, 53: -1.0, 12: 1.0, 359: 1.0}",305
305,kegg:C00013 + kegg:C00085 = kegg:C00009 + kegg:C00354,"{14: -1.0, 125172: -1.0, 12: 1.0, 396: 1.0}",306
306,kegg:C00019 + kegg:C00155 = kegg:C00021 + kegg:C00073,"{19: -1.0, 88364: -1.0, 21: 1.0, 61: 1.0}",307
307,kegg:C00020 + kegg:C00001 = kegg:C00130 + kegg:C00014,"{17: -1.0, 5: -1.0, 117: 1.0, 18: 1.0}",308
308,kegg:C00020 + kegg:C00001 = kegg:C00147 + kegg:C00117,"{17: -1.0, 5: -1.0, 160: 1.0, 109: 1.0}",309
309,kegg:C00020 + kegg:C00001 = kegg:C00212 + kegg:C00009,"{17: -1.0, 5: -1.0, 200: 1.0, 12: 1.0}",310
310,kegg:C00020 + kegg:C00013 = kegg:C00147 + kegg:C00119,"{17: -1.0, 14: -1.0, 160: 1.0, 86: 1.0}",311
311,kegg:C00021 + kegg:C00001 = kegg:C00212 + kegg:C00155,"{21: -1.0, 5: -1.0, 200: 1.0, 88364: 1.0}",312
312,kegg:C00022 + kegg:C00009 = kegg:C00227 + kegg:C00058,"{25: -1.0, 12: -1.0, 266: 1.0, 41: 1.0}",313
313,kegg:C00024 + kegg:C00009 = kegg:C00010 + kegg:C00227,"{23: -1.0, 12: -1.0, 15: 1.0, 266: 1.0}",314
314,kegg:C00024 + kegg:C00058 = kegg:C00010 + kegg:C00022,"{23: -1.0, 41: -1.0, 15: 1.0, 25: 1.0}",315
315,kegg:C00024 + kegg:C00065 = kegg:C00010 + kegg:C00979,"{23: -1.0, 53: -1.0, 15: 1.0, 397: 1.0}",316
316,kegg:C00024 + kegg:C00114 = kegg:C00010 + kegg:C01996,"{23: -1.0, 85: -1.0, 15: 1.0, 745: 1.0}",317
317,kegg:C00024 + kegg:C00164 = kegg:C00332 + kegg:C00033,"{23: -1.0, 146: -1.0, 125: 1.0, 28: 1.0}",318
